ds,yhat
2011-12-10 12:50:00,5989.994333333334
2011-12-11 12:50:00,5989.994333333334
2011-12-12 12:50:00,5989.994333333334
2011-12-13 12:50:00,5989.994333333334
2011-12-14 12:50:00,5989.994333333334
2011-12-15 12:50:00,5989.994333333334
2011-12-16 12:50:00,5989.994333333334
2011-12-17 12:50:00,5989.994333333334
2011-12-18 12:50:00,5989.994333333334
2011-12-19 12:50:00,5989.994333333334
2011-12-20 12:50:00,5989.994333333334
2011-12-21 12:50:00,5989.994333333334
2011-12-22 12:50:00,5989.994333333334
2011-12-23 12:50:00,5989.994333333334
2011-12-24 12:50:00,5989.994333333334
2011-12-25 12:50:00,5989.994333333334
2011-12-26 12:50:00,5989.994333333334
2011-12-27 12:50:00,5989.994333333334
2011-12-28 12:50:00,5989.994333333334
2011-12-29 12:50:00,5989.994333333334
2011-12-30 12:50:00,5989.994333333334
2011-12-31 12:50:00,5989.994333333334
2012-01-01 12:50:00,5989.994333333334
2012-01-02 12:50:00,5989.994333333334
2012-01-03 12:50:00,5989.994333333334
2012-01-04 12:50:00,5989.994333333334
2012-01-05 12:50:00,5989.994333333334
2012-01-06 12:50:00,5989.994333333334
2012-01-07 12:50:00,5989.994333333334
2012-01-08 12:50:00,5989.994333333334
